[2025-09-05 08:15:09,993][midst_toolkit][INFO] - Running data processing pipeline...
[2025-09-05 08:15:10,007][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_1/train_with_id.csv
[2025-09-05 08:15:10,014][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_2/train_with_id.csv
[2025-09-05 08:15:10,022][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_3/train_with_id.csv
[2025-09-05 08:15:10,029][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_4/train_with_id.csv
[2025-09-05 08:15:10,038][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_5/train_with_id.csv
[2025-09-05 08:15:10,046][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_6/train_with_id.csv
[2025-09-05 08:15:10,054][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_7/train_with_id.csv
[2025-09-05 08:15:10,062][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_8/train_with_id.csv
[2025-09-05 08:15:10,073][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_9/train_with_id.csv
[2025-09-05 08:15:10,081][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_10/train_with_id.csv
[2025-09-05 08:15:10,090][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_11/train_with_id.csv
[2025-09-05 08:15:10,100][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_12/train_with_id.csv
[2025-09-05 08:15:10,113][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_13/train_with_id.csv
[2025-09-05 08:15:10,124][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_14/train_with_id.csv
[2025-09-05 08:15:10,133][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_15/train_with_id.csv
[2025-09-05 08:15:10,145][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_16/train_with_id.csv
[2025-09-05 08:15:10,156][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_17/train_with_id.csv
[2025-09-05 08:15:10,167][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_18/train_with_id.csv
[2025-09-05 08:15:10,178][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_19/train_with_id.csv
[2025-09-05 08:15:10,189][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_20/train_with_id.csv
[2025-09-05 08:15:10,203][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_21/train_with_id.csv
[2025-09-05 08:15:10,216][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_22/train_with_id.csv
[2025-09-05 08:15:10,232][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_23/train_with_id.csv
[2025-09-05 08:15:10,245][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_24/train_with_id.csv
[2025-09-05 08:15:10,258][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_25/train_with_id.csv
[2025-09-05 08:15:10,272][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_26/train_with_id.csv
[2025-09-05 08:15:10,284][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_27/train_with_id.csv
[2025-09-05 08:15:10,299][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_28/train_with_id.csv
[2025-09-05 08:15:10,313][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_29/train_with_id.csv
[2025-09-05 08:15:10,327][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabddpm_black_box/train/tabddpm_30/train_with_id.csv
[2025-09-05 08:15:10,439][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_1/train_with_id.csv
[2025-09-05 08:15:10,445][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_2/train_with_id.csv
[2025-09-05 08:15:10,452][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_3/train_with_id.csv
[2025-09-05 08:15:10,460][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_4/train_with_id.csv
[2025-09-05 08:15:10,467][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_5/train_with_id.csv
[2025-09-05 08:15:10,475][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_6/train_with_id.csv
[2025-09-05 08:15:10,482][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_7/train_with_id.csv
[2025-09-05 08:15:10,490][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_8/train_with_id.csv
[2025-09-05 08:15:10,498][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_9/train_with_id.csv
[2025-09-05 08:15:10,509][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_10/train_with_id.csv
[2025-09-05 08:15:10,519][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_11/train_with_id.csv
[2025-09-05 08:15:10,528][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_12/train_with_id.csv
[2025-09-05 08:15:10,537][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_13/train_with_id.csv
[2025-09-05 08:15:10,545][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_14/train_with_id.csv
[2025-09-05 08:15:10,555][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_15/train_with_id.csv
[2025-09-05 08:15:10,564][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_16/train_with_id.csv
[2025-09-05 08:15:10,573][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_17/train_with_id.csv
[2025-09-05 08:15:10,585][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_18/train_with_id.csv
[2025-09-05 08:15:10,595][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_19/train_with_id.csv
[2025-09-05 08:15:10,605][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_20/train_with_id.csv
[2025-09-05 08:15:10,615][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_21/train_with_id.csv
[2025-09-05 08:15:10,624][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_22/train_with_id.csv
[2025-09-05 08:15:10,634][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_23/train_with_id.csv
[2025-09-05 08:15:10,645][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_24/train_with_id.csv
[2025-09-05 08:15:10,656][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_25/train_with_id.csv
[2025-09-05 08:15:10,666][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_26/train_with_id.csv
[2025-09-05 08:15:10,677][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_27/train_with_id.csv
[2025-09-05 08:15:10,687][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_28/train_with_id.csv
[2025-09-05 08:15:10,698][midst_toolkit][INFO] - DataFrame loaded from examples/ensemble_attack_example/data/midst_data_all_attacks/tabsyn_black_box/train/tabsyn_29/train_with_id.csv
